127.0.0.1 - - [23/Nov/2019:17:18:23 -0800] "GET / HTTP/1.1" 200 11330
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:18:27 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:18:27 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/DetailPage.css HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:18:27 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/histogram.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:18:27 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/line_chart.png HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:18:39 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:18:39 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/DetailPage.css HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:18:39 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/line_chart.png HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:18:39 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/histogram.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:23:30 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:23:30 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/DetailPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:23:31 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:25 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:25 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/DetailPage.css HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:26 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:50 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:50 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/DetailPage.css HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:51 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:51 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/DetailPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:52 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:52 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/DetailPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:52 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:54 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3306
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:54 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/DetailPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:26:54 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:30:57 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:30:57 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/DetailPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:30:58 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:30:58 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:31:21 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:31:22 -0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [23/Nov/2019:17:31:22 -0800] "GET /xiaoyanq_CSCI201L_Final_Project/Detail.jsp HTTP/1.1" 200 3361
